"Àmbit territorial","Codi territorial","Nom territori","Any","Període","Habitatges","Renda","Tram de preus"
"Municipi","08267","Sentmenat","2025","gener-març","16","732,88","> 600 euros/mes"
"Municipi","17190","Serinyà","2025","gener-març","5",,"> 450 i <= 600 euros/mes"
"Municipi","25204","Seròs","2025","gener-març","3",,"<= 350 euros/mes"
"Municipi","17191","Serra de Daró","2025","gener-març","1",,"<= 350 euros/mes"
"Municipi","25203","Seu d'Urgell, la","2025","gener-març","86","576,71","> 450 i <= 600 euros/mes"
"Municipi","08269","Seva","2025","gener-març","9","488,98","> 450 i <= 600 euros/mes"
"Municipi","17193","Sils","2025","gener-març","11","747,00","> 600 euros/mes"
"Municipi","08270","Sitges","2025","gener-març","142","1.386,92","> 600 euros/mes"
"Municipi","08271","Sobremunt","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","25206","Soleràs, el","2025","gener-març","1",,"<= 350 euros/mes"
"Municipi","43147","Solivella","2025","gener-març","1",,"> 350 i <= 450 euros/mes"
"Municipi","25207","Solsona","2025","gener-març","48","393,55","> 350 i <= 450 euros/mes"
"Municipi","25208","Soriguera","2025","gener-març","4",,"> 450 i <= 600 euros/mes"
"Municipi","25209","Sort","2025","gener-març","27","458,82","> 450 i <= 600 euros/mes"
"Municipi","25210","Soses","2025","gener-març","1",,"> 350 i <= 450 euros/mes"
"Municipi","08273","Subirats","2025","gener-març","10","805,00","> 600 euros/mes"
"Municipi","08274","Súria","2025","gener-març","17","502,62","> 450 i <= 600 euros/mes"
"Municipi","08276","Tagamanent","2025","gener-març","1",,"> 450 i <= 600 euros/mes"
"Municipi","08277","Talamanca","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","25215","Talarn","2025","gener-març","2",,"> 350 i <= 450 euros/mes"
"Municipi","17195","Tallada d'Empordà, la","2025","gener-març","2",,"> 350 i <= 450 euros/mes"
"Municipi","08278","Taradell","2025","gener-març","20","565,08","> 450 i <= 600 euros/mes"
"Municipi","43148","Tarragona","2025","gener-març","640","670,33","> 600 euros/mes"
"Municipi","25217","Tàrrega","2025","gener-març","108","414,20","> 350 i <= 450 euros/mes"
"Municipi","08280","Tavertet","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","08281","Teià","2025","gener-març","19","1.083,27","> 600 euros/mes"
"Municipi","25220","Térmens","2025","gener-març","1",,"> 350 i <= 450 euros/mes"
"Municipi","08279","Terrassa","2025","gener-març","720","728,94","> 600 euros/mes"
"Municipi","08282","Tiana","2025","gener-març","23","1.240,22","> 600 euros/mes"
"Municipi","43149","Tivenys","2025","gener-març","5",,"<= 350 euros/mes"
"Municipi","43150","Tivissa","2025","gener-març","4",,"> 350 i <= 450 euros/mes"
"Municipi","08283","Tona","2025","gener-març","40","632,42","> 600 euros/mes"
"Municipi","25223","Torà","2025","gener-març","6","467,63","> 450 i <= 600 euros/mes"
"Municipi","08284","Tordera","2025","gener-març","52","623,53","> 600 euros/mes"
"Municipi","08285","Torelló","2025","gener-març","55","553,04","> 450 i <= 600 euros/mes"
"Municipi","25227","Torre de Cabdella, la","2025","gener-març","4",,"> 350 i <= 450 euros/mes"
"Municipi","08286","Torre de Claramunt, la","2025","gener-març","2",,"> 600 euros/mes"
"Municipi","43153","Torredembarra","2025","gener-març","63","597,81","> 450 i <= 600 euros/mes"
"Municipi","25228","Torrefarrera","2025","gener-març","15","572,00","> 450 i <= 600 euros/mes"
"Municipi","25907","Torrefeta i Florejacs","2025","gener-març","1",,"> 350 i <= 450 euros/mes"
"Municipi","25230","Torregrossa","2025","gener-març","4",,"> 350 i <= 450 euros/mes"
"Municipi","08287","Torrelavit","2025","gener-març","9","575,22","> 450 i <= 600 euros/mes"
"Municipi","08288","Torrelles de Foix","2025","gener-març","7","662,14","> 600 euros/mes"
"Municipi","08289","Torrelles de Llobregat","2025","gener-març","20","756,85","> 600 euros/mes"
"Municipi","25232","Torres de Segre","2025","gener-març","8","467,50","> 450 i <= 600 euros/mes"
"Municipi","25233","Torre-serona","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","17198","Torroella de Fluvià","2025","gener-març","4",,"> 600 euros/mes"
"Municipi","17199","Torroella de Montgrí","2025","gener-març","41","632,83","> 600 euros/mes"
"Municipi","17200","Tortellà","2025","gener-març","3",,"> 600 euros/mes"
"Municipi","43155","Tortosa","2025","gener-març","217","473,61","> 450 i <= 600 euros/mes"
"Municipi","17201","Toses","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","17202","Tossa de Mar","2025","gener-març","16","704,81","> 600 euros/mes"
"Municipi","25234","Tremp","2025","gener-març","31","405,76","> 350 i <= 450 euros/mes"
"Municipi","17204","Ullà","2025","gener-març","2",,"> 450 i <= 600 euros/mes"
"Municipi","08290","Ullastrell","2025","gener-març","2",,"> 600 euros/mes"
"Municipi","43156","Ulldecona","2025","gener-març","18","386,75","> 350 i <= 450 euros/mes"
"Municipi","43157","Ulldemolins","2025","gener-març","1",,"> 450 i <= 600 euros/mes"
"Municipi","17203","Ultramort","2025","gener-març","2",,"> 600 euros/mes"
"Municipi","08291","Vacarisses","2025","gener-març","9","826,04","> 600 euros/mes"
"Municipi","17208","Vall de Bianya, la","2025","gener-març","6","550,00","> 450 i <= 600 euros/mes"
"Municipi","25043","Vall de Boí, la","2025","gener-març","6","507,00","> 450 i <= 600 euros/mes"
"Municipi","25901","Vall de Cardós","2025","gener-març","1",,"> 450 i <= 600 euros/mes"
"Municipi","17207","Vall d'en Bas, la","2025","gener-març","5",,"> 600 euros/mes"
"Municipi","08292","Vallbona d'Anoia","2025","gener-març","3",,"> 600 euros/mes"
"Municipi","25238","Vallbona de les Monges","2025","gener-març","1",,"<= 350 euros/mes"
"Municipi","08293","Vallcebre","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","25240","Vallfogona de Balaguer","2025","gener-març","3",,"> 350 i <= 450 euros/mes"
"Municipi","43159","Vallfogona de Riucorb","2025","gener-març","1",,"<= 350 euros/mes"
"Municipi","08294","Vallgorguina","2025","gener-març","4",,"> 600 euros/mes"
"Municipi","08295","Vallirana","2025","gener-març","21","898,85","> 600 euros/mes"
"Municipi","17209","Vall-llobrega","2025","gener-març","2",,"> 600 euros/mes"
"Municipi","43160","Vallmoll","2025","gener-març","2",,"> 600 euros/mes"
"Municipi","08296","Vallromanes","2025","gener-març","3",,"> 600 euros/mes"
"Municipi","43161","Valls","2025","gener-març","81","534,87","> 450 i <= 600 euros/mes"
"Municipi","25239","Valls de Valira, les","2025","gener-març","6","528,16","> 450 i <= 600 euros/mes"
"Municipi","43162","Vandellòs i l'Hospitalet de l'Infant","2025","gener-març","32","608,28","> 600 euros/mes"
"Municipi","43163","Vendrell, el","2025","gener-març","140","586,16","> 450 i <= 600 euros/mes"
"Municipi","17210","Ventalló","2025","gener-març","2",,"> 600 euros/mes"
"Municipi","25242","Verdú","2025","gener-març","2",,"> 450 i <= 600 euros/mes"
"Municipi","17211","Verges","2025","gener-març","4",,"> 450 i <= 600 euros/mes"
"Municipi","08298","Vic","2025","gener-març","221","646,62","> 600 euros/mes"
"Municipi","17213","Vidreres","2025","gener-març","11","594,27","> 450 i <= 600 euros/mes"
"Municipi","25243","Vielha e Mijaran","2025","gener-març","6","644,87","> 600 euros/mes"
"Municipi","17214","Vilabertran","2025","gener-març","2",,"> 450 i <= 600 euros/mes"
"Municipi","17215","Vilablareix","2025","gener-març","11","1.050,45","> 600 euros/mes"
"Municipi","08299","Vilada","2025","gener-març","1",,"> 350 i <= 450 euros/mes"
"Municipi","17217","Viladamat","2025","gener-març","1",,"> 450 i <= 600 euros/mes"
"Municipi","08301","Viladecans","2025","gener-març","138","917,14","> 600 euros/mes"
"Municipi","08300","Viladecavalls","2025","gener-març","9","842,77","> 600 euros/mes"
"Municipi","17218","Vilademuls","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","17220","Viladrau","2025","gener-març","6","705,43","> 600 euros/mes"
"Municipi","17221","Vilafant","2025","gener-març","13","696,61","> 600 euros/mes"
"Municipi","08305","Vilafranca del Penedès","2025","gener-març","165","723,17","> 600 euros/mes"
"Municipi","25244","Vilagrassa","2025","gener-març","5",,"> 450 i <= 600 euros/mes"
"Municipi","17223","Vilajuïga","2025","gener-març","4",,"> 450 i <= 600 euros/mes"
"Municipi","08306","Vilalba Sasserra","2025","gener-març","3",,"> 600 euros/mes"
"Municipi","17224","Vilallonga de Ter","2025","gener-març","2",,"> 450 i <= 600 euros/mes"
"Municipi","43166","Vilallonga del Camp","2025","gener-març","11","562,27","> 450 i <= 600 euros/mes"
"Municipi","17225","Vilamacolum","2025","gener-març","1",,"> 450 i <= 600 euros/mes"
"Municipi","17226","Vilamalla","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","17228","Vilanant","2025","gener-març","2",,"> 600 euros/mes"
"Municipi","25248","Vilanova de Bellpuig","2025","gener-març","1",,"> 350 i <= 450 euros/mes"
"Municipi","25254","Vilanova de la Barca","2025","gener-març","2",,"> 450 i <= 600 euros/mes"
"Municipi","25251","Vilanova de Segrià","2025","gener-març","1",,"> 450 i <= 600 euros/mes"
"Municipi","08302","Vilanova del Camí","2025","gener-març","29","495,56","> 450 i <= 600 euros/mes"
"Municipi","08902","Vilanova del Vallès","2025","gener-març","10","1.085,40","> 600 euros/mes"
"Municipi","43167","Vilanova d'Escornalbou","2025","gener-març","1",,"<= 350 euros/mes"
"Municipi","08307","Vilanova i la Geltrú","2025","gener-març","256","854,41","> 600 euros/mes"
"Municipi","43169","Vilaplana","2025","gener-març","1",,"> 450 i <= 600 euros/mes"
"Municipi","43170","Vila-rodona","2025","gener-març","6","373,33","> 350 i <= 450 euros/mes"
"Municipi","17230","Vila-sacra","2025","gener-març","2",,"> 450 i <= 600 euros/mes"
"Municipi","43171","Vila-seca","2025","gener-març","85","584,26","> 450 i <= 600 euros/mes"
"Municipi","08214","Vilassar de Dalt","2025","gener-març","22","906,72","> 600 euros/mes"
"Municipi","08219","Vilassar de Mar","2025","gener-març","80","1.067,81","> 600 euros/mes"
"Municipi","08304","Vilobí del Penedès","2025","gener-març","3",,"> 600 euros/mes"
"Municipi","17233","Vilobí d'Onyar","2025","gener-març","5",,"> 600 euros/mes"
"Municipi","17232","Vilopriu","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","25253","Vilosell, el","2025","gener-març","2",,"<= 350 euros/mes"
"Municipi","43176","Vimbodí i Poblet","2025","gener-març","2",,"<= 350 euros/mes"
"Municipi","25255","Vinaixa","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","43178","Vinyols i els Arcs","2025","gener-març","5",,"> 600 euros/mes"
"Municipi","43052","Xerta","2025","gener-març","3",,"> 350 i <= 450 euros/mes"
"Municipi","17051","Cistella","2025","gener-desembre","2",,"> 600 euros/mes"
"Municipi","25074","Ciutadilla","2025","gener-desembre","1",,"> 450 i <= 600 euros/mes"
"Municipi","17054","Colera","2025","gener-desembre","3",,"> 450 i <= 600 euros/mes"
"Municipi","25077","Coll de Nargó","2025","gener-desembre","7","476,76","> 450 i <= 600 euros/mes"
"Municipi","08069","Collbató","2025","gener-desembre","30","1.056,41","> 600 euros/mes"
"Municipi","08070","Collsuspina","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","17055","Colomers","2025","gener-desembre","2",,"> 600 euros/mes"
"Municipi","25161","Conca de Dalt","2025","gener-desembre","4",,"> 350 i <= 450 euros/mes"
"Municipi","43046","Conesa","2025","gener-desembre","3",,"> 350 i <= 450 euros/mes"
"Municipi","43047","Constantí","2025","gener-desembre","91","532,60","> 450 i <= 600 euros/mes"
"Municipi","08071","Copons","2025","gener-desembre","4",,"> 350 i <= 450 euros/mes"
"Municipi","08072","Corbera de Llobregat","2025","gener-desembre","134","837,78","> 600 euros/mes"
"Municipi","43048","Corbera d'Ebre","2025","gener-desembre","5",,"> 350 i <= 450 euros/mes"
"Municipi","25078","Corbins","2025","gener-desembre","4",,"> 450 i <= 600 euros/mes"
"Municipi","17057","Corçà","2025","gener-desembre","7","725,00","> 600 euros/mes"
"Municipi","08073","Cornellà de Llobregat","2025","gener-desembre","1.105","792,74","> 600 euros/mes"
"Municipi","17056","Cornellà del Terri","2025","gener-desembre","15","757,33","> 600 euros/mes"
"Municipi","43049","Cornudella de Montsant","2025","gener-desembre","9","394,69","> 350 i <= 450 euros/mes"
"Municipi","43050","Creixell","2025","gener-desembre","48","632,12","> 600 euros/mes"
"Municipi","17901","Cruïlles, Monells i Sant Sadurní de l'Heura","2025","gener-desembre","7","1.017,86","> 600 euros/mes"
"Municipi","08074","Cubelles","2025","gener-desembre","348","681,84","> 600 euros/mes"
"Municipi","25079","Cubells","2025","gener-desembre","4",,"> 350 i <= 450 euros/mes"
"Municipi","43051","Cunit","2025","gener-desembre","196","741,92","> 600 euros/mes"
"Municipi","17060","Darnius","2025","gener-desembre","6","540,83","> 450 i <= 600 euros/mes"
"Municipi","17061","Das","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","43901","Deltebre","2025","gener-desembre","221","469,56","> 450 i <= 600 euros/mes"
"Municipi","08075","Dosrius","2025","gener-desembre","49","1.006,69","> 600 euros/mes"
"Municipi","43053","Duesaigües","2025","gener-desembre","6","480,00","> 450 i <= 600 euros/mes"
"Municipi","17062","Escala, l'","2025","gener-desembre","142","671,50","> 600 euros/mes"
"Municipi","08076","Esparreguera","2025","gener-desembre","246","723,53","> 600 euros/mes"
"Municipi","17063","Espinelves","2025","gener-desembre","5",,"> 600 euros/mes"
"Municipi","25081","Espluga Calba, l'","2025","gener-desembre","1",,"> 450 i <= 600 euros/mes"
"Municipi","43054","Espluga de Francolí, l'","2025","gener-desembre","44","496,14","> 450 i <= 600 euros/mes"
"Municipi","08077","Esplugues de Llobregat","2025","gener-desembre","614","1.390,25","> 600 euros/mes"
"Municipi","17064","Espolla","2025","gener-desembre","1",,"> 450 i <= 600 euros/mes"
"Municipi","17065","Esponellà","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","25082","Espot","2025","gener-desembre","2",,"> 450 i <= 600 euros/mes"
"Municipi","08078","Espunyola, l'","2025","gener-desembre","4",,"> 450 i <= 600 euros/mes"
"Municipi","08254","Esquirol, l'","2025","gener-desembre","22","500,44","> 450 i <= 600 euros/mes"
"Municipi","08079","Estany, l'","2025","gener-desembre","4",,"> 450 i <= 600 euros/mes"
"Municipi","25086","Esterri d'Àneu","2025","gener-desembre","21","588,81","> 450 i <= 600 euros/mes"
"Municipi","43055","Falset","2025","gener-desembre","31","468,60","> 450 i <= 600 euros/mes"
"Municipi","17005","Far d'Empordà, el","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","25089","Farrera","2025","gener-desembre","2",,"> 450 i <= 600 euros/mes"
"Municipi","43056","Fatarella, la","2025","gener-desembre","1",,"<= 350 euros/mes"
"Municipi","08134","Figaró-Montmany","2025","gener-desembre","19","851,96","> 600 euros/mes"
"Municipi","25908","Fígols i Alinyà","2025","gener-desembre","3",,"> 350 i <= 450 euros/mes"
"Municipi","43058","Figuera, la","2025","gener-desembre","1",,"> 450 i <= 600 euros/mes"
"Municipi","17066","Figueres","2025","gener-desembre","815","580,73","> 450 i <= 600 euros/mes"
"Municipi","43059","Figuerola del Camp","2025","gener-desembre","1",,"> 450 i <= 600 euros/mes"
"Municipi","17067","Flaçà","2025","gener-desembre","11","598,64","> 450 i <= 600 euros/mes"
"Municipi","43060","Flix","2025","gener-desembre","27","390,70","> 350 i <= 450 euros/mes"
"Municipi","25092","Floresta, la","2025","gener-desembre","1",,"> 350 i <= 450 euros/mes"
"Municipi","08082","Fogars de la Selva","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","08081","Fogars de Montclús","2025","gener-desembre","8","771,88","> 600 euros/mes"
"Municipi","17068","Foixà","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","08083","Folgueroles","2025","gener-desembre","42","651,27","> 600 euros/mes"
"Municipi","25093","Fondarella","2025","gener-desembre","2",,"> 450 i <= 600 euros/mes"
"Municipi","08084","Fonollosa","2025","gener-desembre","5",,"> 600 euros/mes"
"Municipi","17069","Fontanals de Cerdanya","2025","gener-desembre","4",,"> 600 euros/mes"
"Municipi","17071","Fontcoberta","2025","gener-desembre","4",,"> 600 euros/mes"
"Municipi","08085","Font-rubí","2025","gener-desembre","7","616,04","> 600 euros/mes"
"Municipi","25094","Foradada","2025","gener-desembre","1",,"> 350 i <= 450 euros/mes"
"Municipi","17902","Forallac","2025","gener-desembre","19","784,16","> 600 euros/mes"
"Municipi","17073","Fornells de la Selva","2025","gener-desembre","25","1.369,81","> 600 euros/mes"
"Municipi","17074","Fortià","2025","gener-desembre","2",,"> 600 euros/mes"
"Municipi","08086","Franqueses del Vallès, les","2025","gener-desembre","240","714,22","> 600 euros/mes"
"Municipi","43062","Freginals","2025","gener-desembre","2",,"> 350 i <= 450 euros/mes"
"Municipi","25096","Fuliola, la","2025","gener-desembre","9","427,78","> 350 i <= 450 euros/mes"
"Municipi","43063","Galera, la","2025","gener-desembre","4",,"> 350 i <= 450 euros/mes"
"Municipi","43064","Gandesa","2025","gener-desembre","32","381,09","> 350 i <= 450 euros/mes"
"Municipi","43065","Garcia","2025","gener-desembre","2",,"> 350 i <= 450 euros/mes"
"Municipi","43066","Garidells, els","2025","gener-desembre","4",,"> 450 i <= 600 euros/mes"
"Municipi","08088","Garriga, la","2025","gener-desembre","319","870,02","> 600 euros/mes"
"Municipi","17075","Garrigàs","2025","gener-desembre","6","632,50","> 600 euros/mes"
"Municipi","17077","Garriguella","2025","gener-desembre","8","597,38","> 450 i <= 600 euros/mes"
"Municipi","08089","Gavà","2025","gener-desembre","458","1.087,61","> 600 euros/mes"
"Municipi","08091","Gelida","2025","gener-desembre","129","665,61","> 600 euros/mes"
"Municipi","17078","Ger","2025","gener-desembre","3",,"> 600 euros/mes"
"Municipi","43067","Ginestar","2025","gener-desembre","3",,"<= 350 euros/mes"
"Municipi","17079","Girona","2025","gener-desembre","2.185","816,03","> 600 euros/mes"
"Municipi","08092","Gironella","2025","gener-desembre","116","440,54","> 350 i <= 450 euros/mes"
"Municipi","25099","Golmés","2025","gener-desembre","14","498,11","> 450 i <= 600 euros/mes"
"Municipi","25100","Gósol","2025","gener-desembre","3",,"> 350 i <= 450 euros/mes"
"Municipi","08094","Granada, la","2025","gener-desembre","19","719,86","> 600 euros/mes"
"Municipi","25101","Granadella, la","2025","gener-desembre","3",,"> 350 i <= 450 euros/mes"
"Municipi","08095","Granera","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","25102","Granja d'Escarp, la","2025","gener-desembre","5",,"<= 350 euros/mes"
"Municipi","08096","Granollers","2025","gener-desembre","902","787,85","> 600 euros/mes"
"Municipi","25103","Granyanella","2025","gener-desembre","1",,"> 350 i <= 450 euros/mes"
"Municipi","25105","Granyena de les Garrigues","2025","gener-desembre","1",,"<= 350 euros/mes"
"Municipi","43069","Gratallops","2025","gener-desembre","1",,"> 450 i <= 600 euros/mes"
"Municipi","08097","Gualba","2025","gener-desembre","19","766,84","> 600 euros/mes"
"Municipi","17081","Gualta","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","08099","Guardiola de Berguedà","2025","gener-desembre","16","438,44","> 350 i <= 450 euros/mes"
"Municipi","43070","Guiamets, els","2025","gener-desembre","2",,"> 600 euros/mes"
"Municipi","17082","Guils de Cerdanya","2025","gener-desembre","4",,"> 600 euros/mes"
"Municipi","25903","Guingueta d'Àneu, la","2025","gener-desembre","5",,"> 450 i <= 600 euros/mes"
"Municipi","25110","Guissona","2025","gener-desembre","105","459,07","> 450 i <= 600 euros/mes"
"Municipi","25111","Guixers","2025","gener-desembre","3",,"> 450 i <= 600 euros/mes"
"Municipi","08100","Gurb","2025","gener-desembre","13","888,08","> 600 euros/mes"
"Municipi","43071","Horta de Sant Joan","2025","gener-desembre","7","392,86","> 350 i <= 450 euros/mes"
"Municipi","08101","Hospitalet de Llobregat, l'","2025","gener-desembre","3.351","839,91","> 600 euros/mes"
"Municipi","08162","Hostalets de Pierola, els","2025","gener-desembre","41","743,14","> 600 euros/mes"
"Municipi","17083","Hostalric","2025","gener-desembre","64","608,17","> 600 euros/mes"
"Municipi","08102","Igualada","2025","gener-desembre","638","572,00","> 450 i <= 600 euros/mes"
"Municipi","25115","Isona i Conca Dellà","2025","gener-desembre","8","503,75","> 450 i <= 600 euros/mes"
"Municipi","17084","Isòvol","2025","gener-desembre","3",,"> 600 euros/mes"
"Municipi","25112","Ivars de Noguera","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","25113","Ivars d'Urgell","2025","gener-desembre","10","432,29","> 350 i <= 450 euros/mes"
"Municipi","25114","Ivorra","2025","gener-desembre","2",,"> 350 i <= 450 euros/mes"
"Municipi","17085","Jafre","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","17086","Jonquera, la","2025","gener-desembre","62","555,40","> 450 i <= 600 euros/mes"
"Municipi","08103","Jorba","2025","gener-desembre","7","863,57","> 600 euros/mes"
"Municipi","25910","Josa i Tuixén","2025","gener-desembre","2",,"> 350 i <= 450 euros/mes"
"Municipi","17087","Juià","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","25118","Juncosa","2025","gener-desembre","1",,"<= 350 euros/mes"
"Municipi","25119","Juneda","2025","gener-desembre","20","440,42","> 350 i <= 450 euros/mes"
"Municipi","25121","Les","2025","gener-desembre","12","624,17","> 600 euros/mes"
"Municipi","25122","Linyola","2025","gener-desembre","34","418,37","> 350 i <= 450 euros/mes"
"Municipi","08104","Llacuna, la","2025","gener-desembre","31","531,08","> 450 i <= 600 euros/mes"
"Municipi","17088","Lladó","2025","gener-desembre","6","593,33","> 450 i <= 600 euros/mes"
"Municipi","25124","Lladurs","2025","gener-desembre","2",,"> 350 i <= 450 euros/mes"
"Municipi","08105","Llagosta, la","2025","gener-desembre","123","701,68","> 600 euros/mes"
"Municipi","17089","Llagostera","2025","gener-desembre","115","640,27","> 600 euros/mes"
"Municipi","17091","Llanars","2025","gener-desembre","6","491,67","> 450 i <= 600 euros/mes"
"Municipi","17092","Llançà","2025","gener-desembre","97","610,92","> 600 euros/mes"
"Municipi","25125","Llardecans","2025","gener-desembre","1",,"<= 350 euros/mes"
"Municipi","25126","Llavorsí","2025","gener-desembre","4",,"> 450 i <= 600 euros/mes"
"Municipi","25120","Lleida","2025","gener-desembre","2.140","578,84","> 450 i <= 600 euros/mes"
"Municipi","17093","Llers","2025","gener-desembre","24","752,59","> 600 euros/mes"
"Municipi","25127","Lles de Cerdanya","2025","gener-desembre","1",,"> 450 i <= 600 euros/mes"
"Municipi","08107","Lliçà d'Amunt","2025","gener-desembre","65","841,66","> 600 euros/mes"
"Municipi","08108","Lliçà de Vall","2025","gener-desembre","31","998,60","> 600 euros/mes"
"Municipi","25128","Llimiana","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","08106","Llinars del Vallès","2025","gener-desembre","161","789,19","> 600 euros/mes"
"Municipi","17094","Llívia","2025","gener-desembre","39","713,79","> 600 euros/mes"
"Municipi","25129","Llobera","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","43074","Llorenç del Penedès","2025","gener-desembre","12","699,50","> 600 euros/mes"
"Municipi","17095","Lloret de Mar","2025","gener-desembre","473","622,37","> 600 euros/mes"
"Municipi","17096","Llosses, les","2025","gener-desembre","2",,"> 450 i <= 600 euros/mes"
"Municipi","08109","Lluçà","2025","gener-desembre","3",,"> 350 i <= 450 euros/mes"
"Municipi","17102","Maçanet de Cabrenys","2025","gener-desembre","16","495,31","> 450 i <= 600 euros/mes"
"Municipi","17103","Maçanet de la Selva","2025","gener-desembre","47","606,91","> 600 euros/mes"
"Municipi","17097","Madremanya","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","25133","Maials","2025","gener-desembre","4",,"> 450 i <= 600 euros/mes"
"Municipi","25130","Maldà","2025","gener-desembre","4",,"> 350 i <= 450 euros/mes"
"Municipi","08110","Malgrat de Mar","2025","gener-desembre","197","663,79","> 600 euros/mes"
"Municipi","08111","Malla","2025","gener-desembre","2",,"<= 350 euros/mes"
"Municipi","08112","Manlleu","2025","gener-desembre","207","515,37","> 450 i <= 600 euros/mes"
"Municipi","08113","Manresa","2025","gener-desembre","1.468","584,65","> 450 i <= 600 euros/mes"
"Municipi","43076","Marçà","2025","gener-desembre","6","362,50","> 350 i <= 450 euros/mes"
"Municipi","43075","Margalef","2025","gener-desembre","1",,"> 450 i <= 600 euros/mes"
"Municipi","08242","Marganell","2025","gener-desembre","2",,"> 350 i <= 450 euros/mes"
"Municipi","08114","Martorell","2025","gener-desembre","316","786,91","> 600 euros/mes"
"Municipi","08115","Martorelles","2025","gener-desembre","48","796,74","> 600 euros/mes"
"Municipi","17100","Masarac i Vilarnadal","2025","gener-desembre","2",,"> 600 euros/mes"
"Municipi","43078","Masdenverge","2025","gener-desembre","10","378,50","> 350 i <= 450 euros/mes"
"Municipi","08116","Masies de Roda, les","2025","gener-desembre","2",,"> 450 i <= 600 euros/mes"
"Municipi","08117","Masies de Voltregà, les","2025","gener-desembre","26","637,59","> 600 euros/mes"
"Municipi","43079","Masllorenç","2025","gener-desembre","7","768,57","> 600 euros/mes"
"Municipi","08118","Masnou, el","2025","gener-desembre","364","1.036,70","> 600 euros/mes"
"Municipi","43080","Masó, la","2025","gener-desembre","1",,"> 600 euros/mes"
"Municipi","43081","Maspujols","2025","gener-desembre","5",,"> 450 i <= 600 euros/mes"
"Municipi","08119","Masquefa","2025","gener-desembre","70","687,03","> 600 euros/mes"
"Municipi","43082","Masroig, el","2025","gener-desembre","4",,"> 350 i <= 450 euros/mes"
"Municipi","25131","Massalcoreig","2025","gener-desembre","1",,"<= 350 euros/mes"
"Municipi","17101","Massanes","2025","gener-desembre","6","464,90","> 450 i <= 600 euros/mes"
"Municipi","25132","Massoteres","2025","gener-desembre","1",,"<= 350 euros/mes"
"Municipi","08120","Matadepera","2025","gener-desembre","82","1.423,82","> 600 euros/mes"
"Municipi","08121","Mataró","2025","gener-desembre","1.945","772,46","> 600 euros/mes"
"Municipi","08122","Mediona","2025","gener-desembre","25","602,40","> 600 euros/mes"
"Municipi","25134","Menàrguens","2025","gener-desembre","5",,"> 350 i <= 450 euros/mes"
"Municipi","17105","Mieres","2025","gener-desembre","6","512,50","> 450 i <= 600 euros/mes"
"Municipi","25135","Miralcamp","2025","gener-desembre","6","425,00","> 350 i <= 450 euros/mes"
"Municipi","43084","Miravet","2025","gener-desembre","4",,"<= 350 euros/mes"
"Municipi","08138","Moià","2025","gener-desembre","104","547,85","> 450 i <= 600 euros/mes"
"Municipi","08123","Molins de Rei","2025","gener-desembre","312","882,98","> 600 euros/mes"
"Municipi","25137","Mollerussa","2025","gener-desembre","277","453,19","> 450 i <= 600 euros/mes"
"Municipi","08124","Mollet del Vallès","2025","gener-desembre","550","750,66","> 600 euros/mes"
"Municipi","17107","Molló","2025","gener-desembre","7","842,86","> 600 euros/mes"
"Municipi","08128","Monistrol de Calders","2025","gener-desembre","16","475,84","> 450 i <= 600 euros/mes"
"Municipi","08127","Monistrol de Montserrat","2025","gener-desembre","39","552,05","> 450 i <= 600 euros/mes"
"Municipi","17109","Montagut i Oix","2025","gener-desembre","7","696,66","> 600 euros/mes"
"Municipi","43086","Montblanc","2025","gener-desembre","70","485,09","> 450 i <= 600 euros/mes"
"Municipi","43088","Montbrió del Camp","2025","gener-desembre","22","560,48","> 450 i <= 600 euros/mes"
"Municipi","08125","Montcada i Reixac","2025","gener-desembre","313","730,87","> 600 euros/mes"
"Municipi","25139","Montellà i Martinet","2025","gener-desembre","19","617,40","> 600 euros/mes"
"Municipi","08131","Montesquiu","2025","gener-desembre","17","468,05","> 450 i <= 600 euros/mes"
